,Variable,Position,Label de,Label en,Skala,N,Format,Missing
501,arztAKFB,502,Häufigkeit: Arzt (ohne Zahnarzt und Psychologe;,Frequency: doctor (excluding dentist and psychologist;,Metrisch,16465,F3,
502,ther1,503,Heilpraktiker (EFB/KFB)    ,Naturopath (EFB/KFB),Nominal,17332,F2,
503,therZ1,504,Häufigkeit: Heilpraktiker (EFB/KFB)   ,Frequency: naturopath (EFB/KFB),Metrisch,17324,F2,
504,therzuf1,505,Heilpraktiker: Mit Behandlung zufrieden? (nur EFB),Naturopath: Satisfied with treatment? (EFB only),Nominal,474,F2,-7
505,ther2,506,"Krankengymnast, Physiotherapeut (EFB/KFB)   ",Physiotherapist (EFB/KFB),Nominal,17333,F2,
506,therZ2,507,Häufigkeit: Physiotherapeut (EFB/KFB)   ,Frequency: Physiotherapist (EFB/KFB),Metrisch,17286,F2,
507,therzuf2,508,Physiotherapeut: Mit Behandlung zufrieden? (nur EFB),Physiotherapist: Satisfied with treatment? (EFB only),Nominal,655,F2,-7
508,ther3,509,Logopäde (Sprachtherapeut) (EFB/KFB)   ,Speech therapist (speech therapist) (EFB/KFB),Nominal,17334,F2,
509,therZ3,510,Häufigkeit: Logopäde (EFB/KFB)   ,Frequency: speech therapist (EFB/KFB),Metrisch,17274,F2,
510,therzuf3,511,Logopäde: Mit Behandlung zufrieden? (nur EFB),Speech therapist: satisfied with treatment? (EFB only),Nominal,621,F2,-7
511,ther4,512,Sonst. Einrichtung/Therapeut (EFB/KFB)   ,Otherwise. Institution/therapist (EFB/KFB),Nominal,17334,F2,
512,therZ4,513,Häufigkeit: Sonst. Einrichtung/Therapeut (EFB/KFB)  ,Frequency: Other. Institution/therapist (EFB/KFB),Metrisch,17212,F2,
513,therzuf4,514,Sonst. Einrichtung/Therapeut: Mit Behandl. zufrieden? (nur,Otherwise. Facility/Therapist: With treatment. satisfied? (only,Nominal,343,F2,-7
514,ther6,515,Psychotherapeut (nur KFB)   ,Psychotherapist (only KFB),Nominal,3672,F2,-7
515,therZ6,516,Häufigkeit: Psychotherapeut (nur KFB)  ,Frequency: psychotherapist (only KFB),Metrisch,3671,F2,-7
516,ther7,517,Ergotherapeut (nur KFB)   ,Occupational therapist (only KFB),Nominal,3672,F2,-7
517,therZ7,518,Häufigkeit: Ergotherapeut (nur KFB)  ,Frequency: occupational therapist (only KFB),Metrisch,3672,F2,-7
518,e089m,519,Mutter: Schulabschluss    ,Mother: Graduated from school,Nominal,17295,F2,
519,e089v,520,Vater: Schulabschluss    ,Father: Graduated from school,Nominal,16591,F2,
520,e090m,521,Mutter: Berufsausbildung    ,Mother: vocational training,Nominal,16818,F2,
521,e090v,522,Vater: Berufsausbildung    ,Father: vocational training,Nominal,16209,F2,
522,e091m,523,Mutter: Berufstätigkeit    ,Mother: employment,Nominal,17218,F2,
523,e091v,524,Vater: Berufstätigkeit    ,Father: professional activity,Nominal,16471,F2,
524,e092m,525,Mutter: Berufl. Stellung   ,mother: professional position,Nominal,16637,F2,
525,e092v,526,Vater: Berufl. Stellung   ,Father: professional position,Nominal,16066,F2,
526,e093,527,Monatl. Haushaltsnettoeinkommen    ,monthly household net income,Ordinal,16552,F2,
527,schichtz,528,Soziale Schicht n. Winkler (D2003/4) ,Social class according to Winkler (D2003/4),Ordinal,17214,F2,
528,windexz,529,Winkler-Indexscore (D2003/4)    ,Winkler index score (D2003/4),Metrisch,17214,F2,
529,K001B,530,Hauptaufenthaltsort (KFB) aggregiert   ,Main place of residence (KFB) aggregated,Nominal,6724,F3,-7
530,k008,531,Kind: Geburtsland    ,Child: country of birth,Nominal,6741,F2,-7
531,k009,532,Kind: Seit Geburt in D ,Child: Since birth in D,Nominal,6708,F2,-7
532,k009z,533,Kind: Seit wann in D (Alter),Child: Since when in D (age),Metrisch,502,F2,-7
533,k008m,534,Mutter: Geburtsland (KFB)   ,Mother: Country of Birth (KFB),Nominal,6720,F2,-7
534,k008v,535,Vater: Geburtsland (KFB)   ,Father: Country of birth (KFB),Nominal,6508,F2,-7
535,k106a,536,Noch Schüler (KFB)   ,Still a student (KFB),Nominal,3708,F2,-7
536,k106,537,Schultyp (KFB)    ,School type (KFB),Nominal,6178,F2,-7
537,k099z,538,Wievielte Klasse (KFB)   ,What class (KFB),Metrisch,6196,F2,-7
538,k099c,539,Schulabschluss (kodiert) (KFB)   ,School leaving certificate (coded) (KFB),Nominal,415,F2,-7
539,k099z1,540,Klassenstufe bei Schulabschluss (KFB)  ,Grade at school graduation (KFB),Metrisch,408,F2,-7
540,k125,541,Jetzige Tätigkeit (KFB)   ,Current activity (KFB),Nominal,440,F2,-7
541,Schultyp,542,Schultyp (inkl. Schulabschluss)   ,Type of school (incl. school leaving certificate),Nominal,6584,F2,-7
542,k019,543,Subjektiver Gesundheitszustand (KFB)   ,Subjective state of health (CFB),Ordinal,5398,F2,-7
543,k024z1,544,"Erkältung, grippaler Infekt (KFB)  ","Cold, flu-like infection (CFB)",Metrisch,3633,F2,-7
544,k024z2,545,Angina (Mandelentzündung) (KFB)   ,Angina (tonsillitis) (CFB),Metrisch,3621,F2,-7
545,k024z3,546,Herpes-Infektion (KFB)    ,Herpes infection (KFB),Metrisch,3617,F2,-7
546,k024z4,547,Bronchitis (nicht bei Asthma) (KFB) ,Bronchitis (not in asthma) (KFB),Metrisch,3615,F2,-7
547,k024z6,548,"Durchfall, Magen-Darm-Infektion (KFB)   ","diarrhoea, gastrointestinal infection (CFB)",Metrisch,3622,F2,-7
548,k024z7,549,Blasen- und/oder Harnwegsentzündung (KFB)  ,Bladder and/or urinary tract infection (CFB),Metrisch,3620,F2,-7
549,k024z8,550,Eitrige Bindehautentzündung (KFB)   ,Purulent conjunctivitis (CFB),Metrisch,3612,F2,-7
550,k028,551,Jemals weitere Krankheiten (KFB)  ,Ever More Diseases (KFB),Nominal,3549,F2,-7
551,k029z,552,Nächte im Krankenhaus (KFB)  ,Nights in the Hospital (KFB),Nominal,3636,F3,-7
552,k026,553,Dauerhaft schwerhörig (KFB)   ,Permanently hard of hearing (KFB),Nominal,3669,F2,-7
553,k026a,554,Hörgerät (KFB)    ,hearing aid,Nominal,30,F2,-7
554,k032,555,Schmerzen i. d. letzten 3 Monaten,Pain id last 3 months,Nominal,6708,F2,-7
555,k03301,556,Kopfschmerzen (KFB)    ,Headache (CFB),Ordinal,4805,F2,-7
556,k03302,557,Rückenschmerzen (KFB)    ,back pain (CFB),Ordinal,4585,F2,-7
557,k03303,558,Ohrenschmerzen (KFB)    ,Earache (CFB),Ordinal,4452,F2,-7
558,k03304,559,Augenschmerzen (KFB)    ,Eye pain (CFB),Ordinal,4425,F2,-7
559,k03305,560,Bauchschmerzen (KFB)    ,Abdominal pain (CFB),Ordinal,4598,F2,-7
560,k03306,561,Schmerzen im Unterleib (KFB)  ,Abdominal pain (CFB),Ordinal,4384,F2,-7
561,k03307,562,Armschmerzen (KFB)    ,Arm pain (CFB),Ordinal,4424,F2,-7
562,k03308,563,Beinschmerzen (KFB)    ,leg pain (CFB),Ordinal,4544,F2,-7
563,k03309,564,Schmerzen im Brustkorb (KFB)  ,Chest pain (CFB),Ordinal,4423,F2,-7
564,k03310,565,Halsschmerzen (KFB)    ,sore throat (CFB),Ordinal,4539,F2,-7
565,k03311,566,Zahnschmerzen (KFB)    ,Toothache (KFB),Ordinal,4370,F2,-7
566,k03312c,567,Andere Schmerzen (kodiert) (KFB)  ,Other pain (coded) (KFB),Nominal,52,F2,-7
567,k03313,568,Regelschmerzen (KFB)    ,Menstrual pain (CFB),Ordinal,3647,F2,-7
568,k034c,569,Hauptschmerz (kodiert) (KFB)   ,Main pain (coded) (KFB),Nominal,4926,F2,-7
569,k035,570,Wie oft Hauptschmerz (KFB)  ,How often main pain (CFB),Ordinal,4658,F2,-7
570,k035z,571,Wieviel Mal unregelmäßig Hauptschmerz (KFB) ,How many times irregular main pain (CFB),Metrisch,798,F2,-7
571,k036,572,Erstes Auftreten des Hauptschmerzes (KFB) ,First onset of main pain (CFB),Ordinal,3665,F2,-7
572,k037z,573,Stärke des Hauptschmerzes (Skala in mm),Severity of main pain (scale in mm),Metrisch,3604,F3,-7
573,k0380,574,Hauptschmerz: Menstruation (KFB)   ,Main pain: menstruation (CFB),Nominal,2828,F2,-7
574,k0381,575,Hauptschmerz: Erkrankung (KFB)   ,Main pain: disease (CFB),Nominal,3189,F2,-7
575,k0382,576,Hauptschmerz: Verletzung (KFB)   ,Main pain: injury (CFB),Nominal,3130,F2,-7
576,k0383,577,Hauptschmerz: Medizin. Behandlung/Operation (KFB)  ,Main pain: medicine. Treatment/operation (KFB),Nominal,3089,F2,-7
577,k0384,578,Hauptschmerz: Lärm (KFB)   ,Main pain: noise (CFB),Nominal,3103,F2,-7
578,k0385,579,Hauptschmerz: Sportl. Betätigung (KFB)  ,Main pain: sports. Actuation (KFB),Nominal,3199,F2,-7
579,k0386,580,Hauptschmerz: Schulwechsel (KFB)   ,Main pain: change of school (KFB),Nominal,3072,F2,-7
580,k0387,581,Hauptschmerz: Trennung/Scheidung d. Eltern (KFB) ,Main pain: separation/divorce d. Parents (KFB),Nominal,3074,F2,-7
581,k0388,582,Hauptschmerz: Tod eines Angehörigen (KFB) ,Main pain: death of a relative (KFB),Nominal,3077,F2,-7
582,k0389,583,Hauptschmerz: Umzug (KFB)   ,Main pain: moving (KFB),Nominal,3059,F2,-7
583,k03901,584,Medikamente wg. Schmerz (KFB)  ,medication according to pain (CFB),Ordinal,3568,F2,-7
584,k03902,585,Arztbesuch wg. Schmerz (KFB)  ,visit to the doctor due to pain (CFB),Ordinal,3538,F2,-7
585,k03903,586,Nicht in Kita/Schule wg. Schmerz (KFB),Not in daycare/school due to pain (CFB),Ordinal,3538,F2,-7
586,k03904,587,Freunde nicht treffen wg. Schmerz (KFB),not meeting friends because pain (CFB),Ordinal,3526,F2,-7
587,k03905,588,Keinen Appetit wg. Schmerz (KFB) ,No appetite because pain (CFB),Ordinal,3541,F2,-7
588,k03906,589,Schlafprobleme wg. Schmerz (KFB)  ,sleep problems due pain (CFB),Ordinal,3541,F2,-7
589,k03907,590,Hobbys nicht ausüben wg. Schmerz (KFB),Do not exercise hobbies because pain (CFB),Ordinal,3535,F2,-7
590,k03908,591,Elternteil nicht zur Arbeit wg. Schmerz,Parent not at work due to pain,Ordinal,3522,F2,-7
591,k03909,592,Sich hingelegt wg. Schmerz (KFB) ,lying down because pain (CFB),Ordinal,3563,F2,-7
592,k03910,593,Anders beeinträchtigt wg. Schmerz (KFB) ,Differently impaired due to pain (CFB),Ordinal,3410,F2,-7
593,k03910c,594,Beeinträchtigung wg. Schmerz (kodiert) (KFB) ,impairment due to Pain (coded) (KFB),Nominal,518,F2,-7
594,k03911,595,Folgendes getan wg. Schmerz (KFB) ,done the following according to pain (CFB),Ordinal,650,F2,-7
595,k03911c,596,Was getan wg. Schmerz (kodiert) (KFB),What done according to Pain (coded) (KFB),Nominal,619,F2,-7
596,kw100_k,597,KINDL- Körperliches Wohlbefinden 100 (KFB) ,KINDL- Physical well-being 100 (KFB),Metrisch,6594,F6.2,"-7,00"
597,pw100_k,598,KINDL- Psychisches Wohlbefinden 100 (KFB) ,KINDL- Mental well-being 100 (KFB),Metrisch,6611,F6.2,"-7,00"
598,sel100_k,599,KINDL- Selbstwert 100 (KFB)  ,KINDL self-esteem 100 (KFB),Metrisch,6613,F6.2,"-7,00"
599,fam100_k,600,KINDL- Familie 100 (KFB)  ,KINDL Family 100 (KFB),Metrisch,6637,F6.2,"-7,00"
600,fre100_k,601,KINDL- Freunde 100 (KFB)  ,KINDL- Friends 100 (KFB),Metrisch,6642,F6.2,"-7,00"
601,sch100_k,602,KINDL- Schule 100 (KFB)  ,KINDL School 100 (KFB),Metrisch,6628,F6.2,"-7,00"
602,tot100_k,603,KINDL- Total Quality of life 100,KINDL - Total Quality of Life 100,Metrisch,6648,F6.2,"-7,00"
603,emo_k,604,Skalenwert SDQ emotionale Probleme (Jugendliche) ,Scale value SDQ emotional problems (adolescents),Metrisch,6725,F3,-7
604,verh_k,605,Skalenwert SDQ Verhaltensprobleme (Jugendliche)  ,Scale value SDQ behavioral problems (adolescents),Metrisch,6725,F3,-7
605,hyp_k,606,Skalenwert SDQ Hyperaktivität (Jugendliche)  ,Score SDQ hyperactivity (adolescents),Metrisch,6725,F3,-7
606,peer_k,607,Skalenwert SDQ Peer-Probleme (Jugendliche)  ,Scale score SDQ peer problems (adolescents),Metrisch,6725,F3,-7
607,proso_k,608,Skalenwert SDQ prosoziales Verhalten (Jugendliche) ,Scale value SDQ prosocial behavior (adolescents),Metrisch,6734,F3,-7
608,totsdq_k,609,Gesamtproblemwert SDQ (Jugendliche)   ,Total problem score SDQ (adolescents),Metrisch,6725,F3,-7
609,emoauf_k,610,SDQ emotionale Probleme (Jugendliche)  ,SDQ Emotional Problems (Adolescents),Ordinal,6725,F2,-7
610,verauf_k,611,SDQ Verhaltensprobleme (Jugendliche)   ,SDQ Behavioral Problems (Adolescents),Ordinal,6725,F2,-7
611,hypauf_k,612,SDQ Hyperaktivität (Jugendliche)   ,SDQ Hyperactivity (Adolescents),Ordinal,6725,F2,-7
612,peeauf_k,613,SDQ Peer-Probleme (Jugendliche)   ,SDQ peer issues (adolescents),Ordinal,6725,F2,-7
613,proauf_k,614,SDQ prosoziales Verhalten (Jugendliche)  ,SDQ prosocial behavior (adolescents),Ordinal,6734,F2,-7
614,sdqauf_k,615,auffällig SDQ Gesamtproblemwert (Jugendliche)  ,conspicuous SDQ total problem score (adolescents),Ordinal,6725,F2,-7
615,k065,616,Schlafschwierigkeiten (KFB)    ,Difficulty sleeping (CFB),Nominal,6728,F2,-7
616,k065a,617,Einschlafschwierigkeiten (KFB)    ,Difficulty falling asleep (CFB),Nominal,1422,F2,-7
617,k065b,618,Durchschlafschwierigkeiten (KFB)    ,Difficulty staying asleep (CFB),Nominal,1422,F2,-7
618,k108,619,Eigenes Zimmer    ,Own room,Nominal,6690,F2,-7
619,k1091,620,Wie lange Fernsehen/ Video (KFB) ,How long television/ video (CFB),Ordinal,6706,F2,-7
620,k1092,621,Wie lange Spielkonsole (KFB)  ,How long game console (KFB),Ordinal,6574,F2,-7
621,k1093,622,Wie lange Computer/Internet (KFB)  ,How long computer/internet (KFB),Ordinal,6640,F2,-7
622,k1094,623,Wie lange Musik hören (KFB) ,How long listen to music (KFB),Ordinal,6673,F2,-7
623,k1095,624,Wie lange Handy (KFB)  ,How long mobile phone (KFB),Ordinal,6656,F2,-7
624,k110z1,625,Taschengeld im Monat ()  ,Pocket money per month (),Metrisch,6373,F3,-7
625,k110z2,626,Selbst verdientes Geld ()  ,Earned money (),Metrisch,6499,F3,-7
626,k111,627,Körperliche Aktivität    ,Physical activity,Ordinal,6666,F2,-7
627,k111z,628,Körperl. Aktivität: Std./Woche   ,physical Activity: hours/week,Metrisch,5766,F2,-7
628,k112,629,Körperliche Leistungsfähigkeit    ,Physical ability,Ordinal,6726,F2,-7
629,k113z,630,Schlaf letzte Nacht (Stunden)  ,sleep last night (hours),Metrisch,6694,F2,"-7, -8"
630,scoff,631,SCOFF: mögliche Essstörung   ,SCOFF: possible eating disorder,Metrisch,6633,F2,-7
631,k069,632,Körperselbstbild (KFB)    ,Body self-image (CFB),Ordinal,6696,F2,-7
632,K119,633,Rauchen detailliert    ,smoking detailed,Ordinal,6699,F2,-7
633,k119a,634,Rauchen ja/nein    ,smoking yes/no,Nominal,6729,F2,-7
634,KZIG,635,Anzahl Zigaretten/Tag    ,Number of cigarettes/day,Metrisch,1007,F6.2,"-7,00"
635,K121z,636,Alter Rauchbeginn    ,Old smoke start,Metrisch,997,F2,"-7, -8"
636,K122,637,Rauchende Freunde    ,smoking friends,Nominal,6543,F2,-7
637,K071a,638,Aufenthalt in verrauchten Räumen  ,stay in smoky rooms,Ordinal,6610,F2,-7
638,K104,639,Schon einmal Alkohol getrunken (KFB) ,Have you ever drunk alcohol (KFB),Nominal,6700,F2,-7
639,K1051,640,Häufigkeit Bier (KFB)   ,Frequency of beer (KFB),Ordinal,3944,F2,-7
640,K1052,641,Häufigkeit Wein/Sekt (KFB)   ,Frequency of wine/sparkling wine (KFB),Ordinal,3847,F2,-7
641,K1053,642,Häufigkeit Schnaps (KFB)   ,Frequency Schnaps (KFB),Ordinal,3795,F2,-7
642,K075m1,643,Zähneputzen: Nach allen Mahlzeiten (KFB) ,Brushing your teeth: After every meal (KFB),Nominal,6696,F2,-7
643,K075m2,644,Zähneputzen: Nach Süßigkeiten (KFB)  ,Brushing your teeth: after sweets (KFB),Nominal,6696,F2,-7
644,K075m3,645,Zähneputzen: Meist 2mal täglich oder häufiger,Brushing your teeth: Usually twice a day or more,Nominal,6696,F2,-7
645,K075m4,646,Zähneputzen: Meist 1mal täglich (KFB) ,Brushing your teeth: Usually once a day (KFB),Nominal,6696,F2,-7
646,K075m5,647,Zähneputzen: Mehrmals pro Woche (KFB) ,Brushing your teeth: several times a week (CFB),Nominal,6696,F2,-7
647,K075m6,648,Zähneputzen: 1mal pro Woche oder seltener,Brushing your teeth: 1 time per week or less,Nominal,6696,F2,-7
648,K076m1,649,Zahnpasta mit Fluor (KFB)  ,Toothpaste with fluoride (KFB),Nominal,6605,F2,-7
649,K076m2,650,Zahnpasta ohne Fluor (KFB)  ,Toothpaste without fluoride (KFB),Nominal,6605,F2,-7
650,K076m3,651,Keine Zahnpasta (KFB)   ,No toothpaste (KFB),Nominal,6605,F2,-7
651,K045,652,Helm beim Fahrradfahren (KFB)  ,Helmet while cycling (CFB),Nominal,6674,F2,-7
652,K045a,653,Helm beim Mofa/Moped fahren (KFB) ,Helmet when driving a moped/moped (KFB),Nominal,6518,F2,-7
653,K0461,654,Knie- und Armschoner beim Skaten/Rollerfahren (KFB),Knee and arm protectors when skating/scootering (KFB),Nominal,6449,F2,-7
654,K0462,655,Helm beim Skaten/Rollerfahren (KFB)  ,Helmet when skating/scootering (KFB),Nominal,6409,F2,-7
655,K124,656,Fahren mit alkoholisiertem Fahrer  ,Driving with a drunk driver,Nominal,6709,F2,-7
656,K079,657,Letzte Arztinanspruchnahme (KFB)   ,Last visit to the doctor (KFB),Ordinal,3669,F2,-7
657,K080,658,Ort: Arztinanspruchnahme (KFB)   ,Place: Doctor's use (KFB),Nominal,3604,F2,-7
658,k080c,659,Sonstige Stelle: Arztinanspruchnahme (kodiert) (KFB) ,Other position: use of doctor (coded) (KFB),Nominal,7,F2,
659,K081,660,In Anspruch genommener Arzt (KFB) ,Doctor used (KFB),Nominal,3600,F2,-7
660,K0821,661,Arzt für Naturheilkunde (letzter Besuch) (KFB),Naturopathic doctor (last visit) (KFB),Nominal,3494,F2,-7
661,K0822,662,Arzt mit Zusatzausb. Homöopathie (letzter Besuch),doctor with additional training Homeopathy (last visit),Nominal,3434,F2,-7
662,K083m1,663,"Akute Krankheit, Unfall (KFB)  ","Acute illness, accident (KFB)",Nominal,3477,F2,-7
663,K083m2,664,Chronische Krankheit (KFB)   ,Chronic illness (CFB),Nominal,3477,F2,-7
664,K083m3,665,Störung des Befindens (KFB)  ,Disorder of well-being (CFB),Nominal,3477,F2,-7
665,K083m4,666,Beratung (z. B. Ernährung) (KFB) ,Counseling (e.g. nutrition) (KFB),Nominal,3477,F2,-7
666,K083m5,667,Verordnung eines/r Medikaments/Behandlung (KFB)  ,Prescription of a drug/treatment (KFB),Nominal,3477,F2,-7
667,K083m6,668,Vorsorgeuntersuchung/Impfung (KFB)    ,Medical check-up/vaccination (KFB),Nominal,3477,F2,-7
668,K084,669,Zufriedenheit mit Behandlung/Beratung (KFB)  ,Satisfaction with treatment/advice (CFB),Ordinal,3630,F2,-7
669,K08501,670,Kinderarzt (KFB)    ,Pediatrician (KFB),Nominal,3681,F2,-7
670,K085z01,671,Häufigkeit: Kinderarzt (KFB)   ,Frequency: Pediatrician (KFB),Metrisch,3621,F2,-7
671,K08502,672,Arzt für Allgemeinmedizin/Prakt. Arzt (KFB) ,General Practitioner/Pract. Doctor (KFB),Nominal,3684,F2,-7
672,K085z02,673,Häufigkeit: Prakt. Arzt (KFB)  ,Frequency: Practical. Doctor (KFB),Metrisch,3542,F2,-7
673,K08503,674,Internist (Innere Medizin) (KFB)  ,Internist (internal medicine) (KFB),Nominal,3685,F2,-7
674,K085z03,675,Häufigkeit: Internist (KFB)   ,Frequency: Internist (KFB),Metrisch,3668,F2,-7
675,K08504,676,Augenarzt (KFB)    ,Ophthalmologist (KFB),Nominal,3684,F2,-7
676,K085z04,677,Häufigkeit: Augenarzt (KFB)   ,Frequency: ophthalmologist (KFB),Metrisch,3672,F2,-7
677,K08505,678,Orthopäde (KFB)    ,Orthopedist (KFB),Nominal,3683,F2,-7
678,K085z05,679,Häufigkeit: Orthopäde (KFB)   ,Frequency: orthopedist (KFB),Metrisch,3653,F2,-7
679,K08506,680,Hals-Nasen-Ohrenarzt (KFB)    ,Otorhinolaryngologist (KFB),Nominal,3685,F2,-7
680,K085z06,681,Häufigkeit: HNO-Arzt (KFB)   ,Frequency: ENT doctor (KFB),Metrisch,3675,F2,-7
681,K08507,682,Nervenarzt/Psychiater (KFB)    ,Neurologist/Psychiatrist (KFB),Nominal,3685,F2,-7
682,K085z07,683,Häufigkeit: Nervenarzt (KFB)   ,Frequency: neurologist (KFB),Metrisch,3682,F2,-7
683,K08508,684,Psychologe (KFB)    ,Psychologist (KFB),Nominal,3685,F2,-7
684,K085z08,685,Häufigkeit: Psychologe (KFB)   ,Frequency: Psychologist (KFB),Metrisch,3683,F2,-7
685,K08509,686,Chirurg (KFB)    ,Surgeon (KFB),Nominal,3685,F2,-7
686,K085z09,687,Häufigkeit: Chirurg (KFB)   ,Frequency: Surgeon (KFB),Metrisch,3668,F2,-7
687,K08510,688,Hautarzt (KFB)    ,Dermatologist (KFB),Nominal,3683,F2,-7
688,K085z10,689,Häufigkeit: Hautarzt (KFB)   ,Frequency: Dermatologist (KFB),Metrisch,3643,F2,-7
689,K08511,690,Röntgenarzt (KFB)    ,Radiologist (KFB),Nominal,3685,F2,-7
690,K085z11,691,Häufigkeit: Röntgenarzt (KFB)   ,Frequency: Radiologist (KFB),Metrisch,3679,F2,-7
691,K08512,692,Urologe (KFB)    ,Urologist (KFB),Nominal,3685,F2,-7
692,K085z12,693,Häufigkeit: Urologe (KFB)   ,Frequency: Urologist (KFB),Metrisch,3684,F2,-7
693,K08515,694,"Amtsarzt, Schularzt, Betriebsarzt (KFB)  ","Public health officer, school doctor, company doctor (KFB)",Nominal,3684,F2,-7
694,K085z15,695,"Häufigkeit: Amtsarzt, Schularzt (KFB)  ","Frequency: public health officer, school doctor (KFB)",Metrisch,3676,F2,-7
695,K08516,696,"Zahnarzt, Kieferorthopäde (KFB)   ","Dentist, orthodontist (KFB)",Nominal,3684,F2,-7
696,K085z16,697,"Häufigkeit: Zahnarzt , Kieferorth. (KFB) ","Frequency: dentist , orthodontic. (KFB)",Metrisch,3664,F2,-7
697,K08517,698,Sonstiger Arzt (KFB)   ,Other doctor (KFB),Nominal,3685,F2,-7
698,K085z17,699,Häufigkeit: Sonstiger Arzt (KFB)  ,Frequency: Other doctor (KFB),Metrisch,3680,F2,-7
699,K08518,700,Frauenarzt (KFB)    ,Gynecologist (KFB),Nominal,3684,F2,-7
700,K085z18,701,Häufigkeit: Frauenarzt (KFB)   ,Frequency: Gynecologist (KFB),Metrisch,3675,F2,-7
701,k085z,702,Häufigkeit: Arzt (ohne Zahnarzt und Psychologe),Frequency: doctor (excluding dentist and psychologist),Metrisch,3353,F2,-7
702,k0861,703,Heilpraktiker (KFB)    ,Naturopath (KFB),Nominal,3672,F2,-7
703,K086z1,704,Häufigkeit: Heilpraktiker (KFB)   ,Frequency: alternative practitioner (KFB),Metrisch,3671,F2,-7
704,k0862,705,"Krankengymnast, Physiotherapeut (KFB)   ",Physiotherapist (KFB),Nominal,3672,F2,-7
705,K086z2,706,Häufigkeit: Physiotherapeut (KFB)   ,Frequency: Physiotherapist (KFB),Metrisch,3666,F2,-7
706,k0863,707,Logopäde (Sprachtherapeut) (KFB)   ,Speech therapist (speech therapist) (KFB),Nominal,3672,F2,-7
707,K086z3,708,Häufigkeit: Logopäde (KFB)   ,Frequency: speech therapist (KFB),Metrisch,3672,F2,-7
708,k0864,709,Sonst. Einrichtung/Therapeut (KFB)   ,Otherwise. Facility/Therapist (KFB),Nominal,3672,F2,-7
709,K086z4,710,Häufigkeit: Sonst. Einrichtung/Therapeut (KFB)  ,Frequency: Other. Facility/Therapist (KFB),Metrisch,3668,F2,-7
710,k0866,711,Psychotherapeut (KFB)    ,Psychotherapist (KFB),Nominal,3672,F2,-7
711,K086z6,712,Häufigkeit: Psychotherapeut (KFB)   ,Frequency: Psychotherapist (KFB),Metrisch,3671,F2,-7
712,k0867,713,Ergotherapeut (KFB)    ,Occupational therapist (KFB),Nominal,3672,F2,-7
713,K086z7,714,Häufigkeit: Ergotherapeut (KFB)   ,Frequency: occupational therapist (KFB),Metrisch,3672,F2,-7
714,k091m,715,Mutter: Berufstätigkeit (KFB)   ,Mother: professional activity (KFB),Nominal,3622,F2,-7
715,k091v,716,Vater: Berufstätigkeit (KFB)   ,Father: professional activity (KFB),Nominal,3445,F2,-7
716,CA01,717,"Heuschnupfen, allerg. Bindehautentzündung   ","hay fever, allergy conjunctivitis",Nominal,17424,F2,
717,CBJ01,718,"Erstmals (Jahre): Heuschnupfen, allerg. Bindehautentzündung ","First time (years): hay fever, allerg. conjunctivitis",Metrisch,1694,F2,
718,CBM01,719,"Erstmals (Monate): Heuschnupfen, allerg. Bindehautentzündung ","For the first time (months): hay fever, allerg. conjunctivitis",Metrisch,157,F2,
719,CC01,720,"Letzte 12 Monate: Heuschnupfen, allerg. Bindehautentzündung","Last 12 months: hay fever, allerg. conjunctivitis",Nominal,1707,F2,
720,CD01,721,"Letzte 4 Wochen: Heuschnupfen, allerg. Bindehautentzündung","Last 4 weeks: hay fever, allerg. conjunctivitis",Nominal,1707,F2,
721,CA02,722,"Neurodermitis, atop. Ekzem   ","neurodermatitis, atopic eczema",Nominal,17424,F2,
722,CBJ02,723,"Erstmals (Jahre): Neurodermitis, atop. Ekzem ","First time (years): neurodermatitis, atop. eczema",Metrisch,2305,F2,
723,CBM02,724,"Erstmals (Monate): Neurodermitis, atop. Ekzem ","First time (months): neurodermatitis, atop. eczema",Metrisch,1248,F2,
724,CC02,725,"Letzte 12 Monate: Neurodermitis, atop. Ekzem","Last 12 months: neurodermatitis, atop. eczema",Nominal,2317,F2,
725,CD02,726,"Letzte 4 Wochen: Neurodermitis, atop. Ekzem","Last 4 weeks: neurodermatitis, atop. eczema",Nominal,2317,F2,
726,CA03,727,Asthma     ,asthma,Nominal,17421,F2,
727,CBJ03,728,Erstmals (Jahre): Asthma   ,First time (years): Asthma,Metrisch,767,F2,
728,CBM03,729,Erstmals (Monate): Asthma   ,First time (months): Asthma,Metrisch,160,F2,
729,CC03,730,Letzte 12 Monate: Asthma  ,Last 12 months: asthma,Nominal,774,F2,
730,CD03,731,Letzte 4 Wochen: Asthma  ,Last 4 weeks: asthma,Nominal,774,F2,
731,CA04,732,Spast. obstr. Bronchitis   ,fun. obstr. bronchitis,Nominal,17421,F2,
732,CBJ04,733,Erstmals (Jahre): Spast. obstr. Bronchitis ,First time (years): Spast. obstr. bronchitis,Metrisch,2177,F2,
733,CBM04,734,Erstmals (Monate): Spast. obstr. Bronchitis ,First time (months): Spast. obstr. bronchitis,Metrisch,1051,F2,
734,CC04,735,Letzte 12 Monate: Spast. obstr. Bronchitis,Last 12 months: fun. obstr. bronchitis,Nominal,2183,F2,
735,CD04,736,Letzte 4 Wochen: Spast. obstr. Bronchitis,Last 4 weeks: fun. obstr. bronchitis,Nominal,2183,F2,
